"NombreEvento";"Teatro";"UrlEvento"
"¡Canta Bingo!";"Espacio Gran Vía";"https://www.abonoteatro.com/evento/019f613b-4436-71e6-b647-c96ffd6d5d49"
"¡No Toques ese Botón!";"Espacio Broadway";"https://www.abonoteatro.com/evento/019fd698-e556-7085-8599-3b7e0fb1f414"
"¿Dónde Está Radojka?";"Teatros Luchana";"https://www.abonoteatro.com/evento/019ed58b-b903-7397-b18b-cc634ac42558"
"¿Y SI FUNCIONA?";"Espacio Broadway";"https://www.abonoteatro.com/evento/019f190c-a07c-700f-838e-6d41cca39527"
"101 Dálmatas";"Gran Teatro Caixabank Príncipe Pío";"https://www.abonoteatro.com/evento/019ed516-e61d-7172-8dfa-fbb0cf51649d"
"A Contracorriente - Tributo Pereza Y Leiva";"Sala Galileo Galilei";"https://www.abonoteatro.com/evento/019ed5ee-4f0d-72ca-b8c7-d305e4effde7"
"A Night With The Beatles";"Sala Galileo Galilei";"https://www.abonoteatro.com/evento/019ed622-6358-7118-a88d-b1a4ecc9ad16"
"A Sky Full Of Stars - The Coldplay Piano Show";"Teatros Luchana";"https://www.abonoteatro.com/evento/019f9379-a874-71bd-9dfd-4eb438df9952"
"A Todo Ritmo";"Espacio Broadway";"https://www.abonoteatro.com/evento/019ed5e1-36bb-726b-8c20-2bae4f9627e6"
"BINGO MUSICAL DALPAO";"Espacio Broadway";"https://www.abonoteatro.com/evento/019f19cd-1f75-732f-98b6-3b1b4c31687f"
"BINGO: SUPER ESTRELLAS";"Teatro Las Vegas";"https://www.abonoteatro.com/evento/019fa3d5-02d8-70d5-814e-b7fc2b051551"
"Bingo! La Noche De Nicole";"Axel Hotel Madrid";"https://www.abonoteatro.com/evento/019ed5f8-42ba-732d-9293-f6553c2cdabe"
"BIZARRA";"Corral Comedias Almagro (Ciudad Real)";"https://www.abonoteatro.com/evento/019fd162-8dc1-730e-b00b-8541a8d0645a"
"Boleros Y Romances - Clásicos De Siempre";"Sala Galileo Galilei";"https://www.abonoteatro.com/evento/019fd624-43ea-7104-8159-f3065cd0bcfe"
"Cabaret Desmadre";"Espacio Alma";"https://www.abonoteatro.com/evento/019f4197-e9ca-7076-993c-77c7184e9511"
"Callas En Concierto";"Gran Teatro Caixabank Príncipe Pío";"https://www.abonoteatro.com/evento/019ed517-97c4-7132-bd27-33ee75101e2f"
"Canajazz";"Ambigú Del Teatro Pavón";"https://www.abonoteatro.com/evento/019ed562-3ae7-71ac-b4be-80db2221d9b0"
"Canta Y Gana";"Espacio Broadway";"https://www.abonoteatro.com/evento/019ed40d-5103-704d-adfd-44c073379d4a"
"Cava y Velas  Bridgerton";"Espacio Alma";"https://www.abonoteatro.com/evento/019f846c-2cf5-7217-87ee-58154e6adc84"
"Cava y Velas: POP ROCK";"Espacio Alma";"https://www.abonoteatro.com/evento/019f8470-21d7-73d9-a7c2-724a8c4e5818"
"Cava y Velas: Tributo Adele";"Espacio Alma";"https://www.abonoteatro.com/evento/019f8472-36a2-704f-9035-9ed4f24c3b82"
"Cava y Velas: Tributo Ludovico Einaudi";"Espacio Alma";"https://www.abonoteatro.com/evento/019f845d-ceb6-70c7-8724-2155511ce193"
"Chavela, El Último Trago";"Sala Galileo Galilei";"https://www.abonoteatro.com/evento/019eee6f-a885-72d9-90b3-0a6af8f429d9"
"Chulíssima: Un Viaje Por Las Noches Del Cuplé";"Espacio Gran Vía";"https://www.abonoteatro.com/evento/019ed5f4-5723-724d-b906-6a924d477adb"
"CONCIERTO ROCK CON Ñ  (FIN DEL VERANO)";"Sala Conchita Amores";"https://www.abonoteatro.com/evento/019f6f25-da97-70d2-8893-3df606611254"
"Dancing Queen - The Abba Piano Show";"Teatros Luchana";"https://www.abonoteatro.com/evento/019ed625-4426-7256-ab97-7c1310190141"
"DIVAS - Las grandes voces de la historia";"Teatros Luchana";"https://www.abonoteatro.com/evento/019ef96a-5be4-702c-809e-19f737e44cf2"
"Divas, Un Homenaje A Las Grandes Voces";"Espacio Gran Vía";"https://www.abonoteatro.com/evento/019ed610-11c3-730b-a959-843f2d990451"
"Don Gil De Las Calzas Verdes";"Corral Comedias Almagro (Ciudad Real)";"https://www.abonoteatro.com/evento/019ed5a9-0e42-705b-be1c-da3f2064e7ec"
"Duelo De Pianos - Grandes Éxitos De Los 80 Y 90";"Teatros Luchana";"https://www.abonoteatro.com/evento/019ed636-1db8-71e5-b7a6-1c4f3ae18241"
"El Amor Y Mucho Match!";"Teatro Arlequín Gran Vía";"https://www.abonoteatro.com/evento/019ed547-75be-722c-b63d-aa8a2feb350c"
"El Baúl Mágico - Tributo A Disney";"Teatro Marquina";"https://www.abonoteatro.com/evento/019ed613-89d7-7338-9b0c-c55e2005ccc6"
"El Caballero Incierto";"Gran Teatro Pavón";"https://www.abonoteatro.com/evento/019ed561-456d-73b7-b3d1-44b29d9da812"
"EL CRIMEN DE LA OFICINA";"Espacio Broadway";"https://www.abonoteatro.com/evento/019f19e0-c527-7233-8337-c67196fe6d77"
"El Culpable - Juan Solo";"Teatro Marquina";"https://www.abonoteatro.com/evento/019ed58e-973a-7106-bbb2-11b8a26cedfe"
"EL ENCUESTADOR";"La Butaca Amarilla";"https://www.abonoteatro.com/evento/019f18f4-790a-70ed-a3bd-d3c3a5fed90f"
"EL GRAN ESPECTACULO";"Teatro Las Vegas";"https://www.abonoteatro.com/evento/019fa3e7-79a3-715a-a81e-f133baf1afe6"
"El Imitador";"Gran Teatro Pavón";"https://www.abonoteatro.com/evento/019ed52f-a1f3-7354-9944-133b03dfc143"
"El Perro Del Hortelano";"Corral Comedias Almagro (Ciudad Real)";"https://www.abonoteatro.com/evento/019ed583-5aba-7088-8148-228963ec2529"
"El Regalo";"Teatro Marquina";"https://www.abonoteatro.com/evento/019ed585-eba8-7345-93b5-3c318d901ebf"
"El Último Verso";"Teatro Serrano";"https://www.abonoteatro.com/evento/019ed52d-d529-7094-89fb-d8d44079aa97"
"EN LA PENUMBRA";"Teatro De Las Aguas";"https://www.abonoteatro.com/evento/019edb3b-c15c-7154-a35b-0dd7c4edd3fb"
"ENSAYO ABIERTO";"Teatro Arlequín Gran Vía";"https://www.abonoteatro.com/evento/019f6abd-987e-70a5-b516-e93a86a05a5e"
"Esto Es Hollywood";"Espacio Gran Vía";"https://www.abonoteatro.com/evento/019ed5e9-3c75-7376-9355-278605a57535"
"Extasis, Erotic Gay Cabaret Show";"Axel Hotel Madrid";"https://www.abonoteatro.com/evento/019ed5e6-1165-72b2-bb10-a155b7d9fb42"
"Faunia";"Faunia";"https://www.abonoteatro.com/evento/019fb3af-67b7-70f7-bd9e-020db2a2519e"
"FIESTA";"Corral Comedias Almagro (Ciudad Real)";"https://www.abonoteatro.com/evento/019fd178-1205-714a-8c0d-1014d4edea60"
